VulnID;OccuType;DmgType;VulnType;HydroValue;Damage;Original code
1;11220;1;1;0.9144;0.31;RES3F
1;11220;1;1;1.2192;0.36;RES3F
1;11220;1;1;1.524;0.37;RES3F
1;11220;1;1;1.8288;0.39;RES3F
1;11220;1;1;2.1336;0.4;RES3F
1;11220;1;1;2.4384;0.41;RES3F
1;11220;1;1;2.7432;0.42;RES3F
1;11220;1;1;3.048;0.44;RES3F
1;11220;1;1;3.3528;0.46;RES3F
1;11220;1;1;3.6576;0.48;RES3F
1;11220;1;1;3.9624;0.52;RES3F
1;11220;1;1;4.2672;0.55;RES3F
1;11220;1;1;4.572;0.58;RES3F
1;11220;1;1;4.8768;0.61;RES3F
1;11220;1;1;5.1816;0.64;RES3F
1;11220;1;1;5.4864;0.68;RES3F
1;11220;1;1;5.7912;0.69;RES3F
1;11220;1;1;6.096;0.7;RES3F
1;11220;1;1;6.4008;0.71;RES3F
1;11220;1;1;6.7056;0.72;RES3F
1;11220;1;1;7.0104;0.73;RES3F
1;11220;1;1;7.3152;0.74;RES3F
1;11220;2;1;-1.2192;0;RES3F
1;11220;2;1;-0.9144;0;RES3F
1;11220;2;1;-0.6096;0;RES3F
1;11220;2;1;-0.3048;0;RES3F
1;11220;2;1;0;0.04;RES3F
1;11220;2;1;0.3048;0.24;RES3F
1;11220;2;1;0.6096;0.34;RES3F
1;11220;2;1;0.9144;0.4;RES3F
1;11220;2;1;1.2192;0.47;RES3F
1;11220;2;1;1.524;0.53;RES3F
1;11220;2;1;1.8288;0.56;RES3F
1;11220;2;1;2.1336;0.58;RES3F
1;11220;2;1;2.4384;0.58;RES3F
1;11220;2;1;2.7432;0.58;RES3F
1;11220;2;1;3.048;0.61;RES3F
1;11220;2;1;3.3528;0.66;RES3F
1;11220;2;1;3.6576;0.68;RES3F
1;11220;2;1;3.9624;0.76;RES3F
1;11220;2;1;4.2672;0.81;RES3F
1;11220;2;1;4.572;0.86;RES3F
1;11220;2;1;4.8768;0.91;RES3F
1;11220;2;1;5.1816;1;RES3F
1;11220;2;1;5.4864;1;RES3F
1;11220;2;1;5.7912;1;RES3F
1;11220;2;1;6.096;1;RES3F
1;11220;2;1;6.4008;1;RES3F
1;11220;2;1;6.7056;1;RES3F
1;11220;2;1;7.0104;1;RES3F
1;11220;2;1;7.3152;1;RES3F
1;11230;1;1;-1.2192;0;RES3F
1;11230;1;1;-0.9144;0;RES3F
1;11230;1;1;-0.6096;0;RES3F
1;11230;1;1;-0.3048;0;RES3F
1;11230;1;1;0;0.05;RES3F
1;11230;1;1;0.3048;0.28;RES3F
1;11230;1;1;0.6096;0.29;RES3F
1;11230;1;1;0.9144;0.31;RES3F
1;11230;1;1;1.2192;0.36;RES3F
1;11230;1;1;1.524;0.37;RES3F
1;11230;1;1;1.8288;0.39;RES3F
1;11230;1;1;2.1336;0.4;RES3F
1;11230;1;1;2.4384;0.41;RES3F
1;11230;1;1;2.7432;0.42;RES3F
1;11230;1;1;3.048;0.44;RES3F
1;11230;1;1;3.3528;0.46;RES3F
1;11230;1;1;3.6576;0.48;RES3F
1;11230;1;1;3.9624;0.52;RES3F
1;11230;1;1;4.2672;0.55;RES3F
1;11230;1;1;4.572;0.58;RES3F
1;11230;1;1;4.8768;0.61;RES3F
1;11230;1;1;5.1816;0.64;RES3F
1;11230;1;1;5.4864;0.68;RES3F
1;11230;1;1;5.7912;0.69;RES3F
1;11230;1;1;6.096;0.7;RES3F
1;11230;1;1;6.4008;0.71;RES3F
1;11230;1;1;6.7056;0.72;RES3F
1;11230;1;1;7.0104;0.73;RES3F
1;11230;1;1;7.3152;0.74;RES3F
1;11230;2;1;-1.2192;0;RES3F
1;11230;2;1;-0.9144;0;RES3F
1;11230;2;1;-0.6096;0;RES3F
1;11230;2;1;-0.3048;0;RES3F
1;11230;2;1;0;0.04;RES3F
1;11230;2;1;0.3048;0.24;RES3F
1;11230;2;1;0.6096;0.34;RES3F
1;11230;2;1;0.9144;0.4;RES3F
1;11230;2;1;1.2192;0.47;RES3F
1;11230;2;1;1.524;0.53;RES3F
1;11230;2;1;1.8288;0.56;RES3F
1;11230;2;1;2.1336;0.58;RES3F
1;11230;2;1;2.4384;0.58;RES3F
1;11230;2;1;2.7432;0.58;RES3F
1;11230;2;1;3.048;0.61;RES3F
1;11230;2;1;3.3528;0.66;RES3F
1;11230;2;1;3.6576;0.68;RES3F
1;11230;2;1;3.9624;0.76;RES3F
1;11230;2;1;4.2672;0.81;RES3F
1;11230;2;1;4.572;0.86;RES3F
1;11230;2;1;4.8768;0.91;RES3F
1;11230;2;1;5.1816;1;RES3F
1;11230;2;1;5.4864;1;RES3F
1;11230;2;1;5.7912;1;RES3F
1;11230;2;1;6.096;1;RES3F
1;11230;2;1;6.4008;1;RES3F
1;11230;2;1;6.7056;1;RES3F
1;11230;2;1;7.0104;1;RES3F
1;11230;2;1;7.3152;1;RES3F
1;11240;1;1;-1.2192;0;RES1
